year,weight_class,place,wrestler,team
2023,101,1st Place,Ira Navarro,Providence
2023,101,2nd Place,Erin Hikiji,Providence
2023,101,3rd Place,Esthela Trevino,Southern Oregon
2023,101,4th Place,Elizabeth Dosado,Cumberlands
2023,101,5th Place,Kayla Mckinley-Johnson,Menlo
2023,101,6th Place,Karina Vang,Doane
2023,101,7th Place,Tianna Fernandez,Menlo
2023,101,8th Place,Devyn Gomez,Life
2023,109,1st Place,Peyton Prussin,Life
2023,109,2nd Place,Mia Palumbo,Iowa Wesleyan
2023,109,3rd Place,Jasmine Howard,Texas Wesleyan
2023,109,4th Place,Natalie Reyna-Rodriguez,Southern Oregon
2023,109,5th Place,Tehani Soares,Indiana Tech
2023,109,6th Place,Faith Cole,Iowa Wesleyan
2023,109,7th Place,Stefana Jelacic,Lourdes
2023,109,8th Place,Kory Phillips,Life
2023,116,1st Place,Caitlyn Thorne,Central Methodist
2023,116,2nd Place,Camille Fournier,Texas Wesleyan
2023,116,3rd Place,Ashley Gooman,Providence
2023,116,4th Place,Juliana Diaz,Missouri Baptist
2023,116,5th Place,Avery Ashley,Oklahoma City
2023,116,6th Place,Josie Bartishofski,Jamestown
2023,116,7th Place,Hannah Hall,Central Methodist
2023,116,8th Place,Jamesa Robinson,Brewton Parker
2023,123,1st Place,Carolina Moreno,Southern Oregon
2023,123,2nd Place,Alana Vivas,Menlo
2023,123,3rd Place,Maya Davis,Grand View
2023,123,4th Place,Haley Narahara,Menlo
2023,123,5th Place,Sophie Smith,Oklahoma City
2023,123,6th Place,Catharine Campbell,Grand View
2023,123,7th Place,Ashley Whetzal,Missouri Valley
2023,123,8th Place,Larissa Kaz,Hastings
2023,130,1st Place,Lexie Basham,Texas Wesleyan
2023,130,2nd Place,Sarah Savidge,Life
2023,130,3rd Place,Cristelle Rodriguez,Doane
2023,130,4th Place,Waipuilani Estrella-Beauchamp,Providence
2023,130,5th Place,Skye Realin,Central Methodist
2023,130,6th Place,Andrea Schlabach,Grand View
2023,130,7th Place,Louisa Schwab,Menlo
2023,130,8th Place,Kaylee Moore,Eastern Oregon
2023,136,1st Place,Adaugo Nwachukwu,Iowa Wesleyan
2023,136,2nd Place,Mea Mohler,Texas Wesleyan
2023,136,3rd Place,Leidaly Rivera,Brewton Parker
2023,136,4th Place,Bella Amaro,Southern Oregon
2023,136,5th Place,Aliyah Yates,Cumberlands
2023,136,6th Place,Erin Redford,Eastern Oregon
2023,136,7th Place,Paige Respicio,Providence
2023,136,8th Place,Riley Dalrymple,Life
2023,143,1st Place,Emily Se,Southern Oregon
2023,143,2nd Place,Alexis Gomez,Grand View
2023,143,3rd Place,Jamilah McBryde,Life
2023,143,4th Place,Emma Walker,Campbellsville
2023,143,5th Place,Liv Wieber,Eastern Oregon
2023,143,6th Place,Isabelle Hawley,Iowa Wesleyan
2023,143,7th Place,Josette Partney,Missouri Baptist
2023,143,8th Place,Desiree Jones,Menlo
2023,155,1st Place,Kaylynn Albrecht,Baker
2023,155,2nd Place,Latifah McBryde,Life
2023,155,3rd Place,India Page,Brewton Parker
2023,155,4th Place,Caitlyn Davis,Central Methodist
2023,155,5th Place,Shannon Workinger,Menlo
2023,155,6th Place,Gabrielle Holloway,St Andrews
2023,155,7th Place,Kendra Thompson,Campbellsville
2023,155,8th Place,Madison Diaz,Grand View
2023,170,1st Place,Dymond Guilford,Cumberlands
2023,170,2nd Place,Joye Levendusky,Southern Oregon
2023,170,3rd Place,Abby McIntyre,Grand View
2023,170,4th Place,Liliana Vergara,Campbellsville
2023,170,5th Place,Shenita Lawson,Grand View
2023,170,6th Place,America Lopez,Iowa Wesleyan
2023,170,7th Place,Jesaphine Lee,Life
2023,170,8th Place,Olivia Robinson,Eastern Oregon
2023,191,1st Place,Grace Kristoff,Southern Oregon
2023,191,2nd Place,Jaycee Foeller,Central Methodist
2023,191,3rd Place,Kelani Corbett,Missouri Valley
2023,191,4th Place,Tavia Heidelberg-Tillotson,Menlo
2023,191,5th Place,Olivia Brown,Grand View
2023,191,6th Place,Jesse Kirby,Cumberlands
2023,191,7th Place,Maquoia Bernabe,Cumberlands
2023,191,8th Place,Alexis Tupuola,Providence
