season,event_name,event_id,school,wrestler_name,weight_class,place,points_scored,wins,losses,matches_wrestled
2026,2026 NAIA Women's National Championships,954958132,Grand View,Isabelle Apple,103,8th,11.0,3,3,6
2026,2026 NAIA Women's National Championships,954958132,Grand View,Lita Cruz,103,5th,12.0,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Grand View,Tristan Nitta,110,3rd,25.0,6,1,7
2026,2026 NAIA Women's National Championships,954958132,Grand View,Eliana Martinez,110,Did not place,5.5,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Grand View,Cailin Campbell,117,4th,19.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Grand View,Mayangelie Colon,117,Did not place,4.5,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Grand View,Maya Davis,124,Did not place,6.0,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Grand View,Catherine Campbell,124,7th,13.0,5,2,7
2026,2026 NAIA Women's National Championships,954958132,Grand View,Madison Diaz,145,5th,12.0,5,2,7
2026,2026 NAIA Women's National Championships,954958132,Grand View,Nicole Olson,160,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Grand View,Andjela Prijovic,180,2nd,21.0,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Grand View,Selena Mares,207,5th,18.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Hastings,Chloe Brewis,110,8th,10.5,4,3,7
2026,2026 NAIA Women's National Championships,954958132,Hastings,Raelynn O`Connor,110,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Hastings,Larissa Kaz,131,8th,7.0,2,3,5
2026,2026 NAIA Women's National Championships,954958132,Hastings,Lisa Hoeflich,138,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Hastings,Reagen Gallaway,138,7th,10.0,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Hastings,Emma Stice,145,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Hastings,Jayla Ford,160,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Hastings,Alexis Llamas,207,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Hastings,Taylor Rickley,207,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Zoey Haney,103,2nd,19.5,3,1,4
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Makayla Young,103,Did not place,3.0,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Emma Jones,110,Did not place,4.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Makenize Smith,110,Did not place,1.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Rose Kaplan,124,2nd,22.0,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Lola Barkby,124,8th,8.5,3,3,6
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Andrea Hernandez,131,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Kinnley Smith,138,Did not place,1.0,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Hayden Newberg,145,7th,11.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Indiana Tech,Bo Geibe,160,5th,11.5,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Life,Diana Gonzalez,110,Did not place,1.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Life,Salyna Shotwell,117,2nd,24.0,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Life,Anna Krejsa,124,Did not place,5.0,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Life,Sarah Savidge,131,4th,16.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Life,Olivia Mottley,131,2nd,19.0,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Life,Zaynah McBryde,138,2nd,22.0,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Life,Christina Jaen,138,Did not place,5.5,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Life,Jamilah McBryde,145,1st,23.0,4,0,4
2026,2026 NAIA Women's National Championships,954958132,Life,Amelia Fawcett,145,Did not place,3.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Life,Latifah McBryde,160,3rd,20.5,5,1,6
2026,2026 NAIA Women's National Championships,954958132,Life,Reka Busa,180,3rd,19.0,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Life,Madeline Welch,207,6th,11.0,3,3,6
2026,2026 NAIA Women's National Championships,954958132,Lindsey Wilson,Reagan Thomas,110,Did not place,3.0,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Lindsey Wilson,Grace Lashinsky,117,5th,17.0,5,2,7
2026,2026 NAIA Women's National Championships,954958132,Lindsey Wilson,Callie Payton,117,Did not place,2.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Lindsey Wilson,Kamilah Brooks,124,5th,12.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Lindsey Wilson,Jeila Ramos,131,6th,14.5,3,3,6
