season,event_name,event_id,school,wrestler_name,weight_class,place,points_scored,wins,losses,matches_wrestled
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Texas Wesleyan,Aalyah Villarreal,170,7th,12.5,3,2,5
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Vanguard,Abbeygael Cabuag,101,Did not place,0.0,0,2,2
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Grand View,Abby McIntyre,170,2nd,23.5,4,1,5
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Vanguard,Abena Adu,170,Did not place,0.0,0,2,2
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,William Penn,Adaugo Nwachukwu,136,1st,30.0,5,0,5
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Campbellsville,Addison Messerly,136,Did not place,2.0,1,2,3
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Ottawa,Addison Saporito,116,Did not place,4.0,2,2,4
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Jamestown,Agatha Andrews,191,Did not place,3.5,1,2,3
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Ottawa,Aileen Lester,136,Did not place,3.5,2,2,4
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,York,Aime Hernandez-Perez,170,Did not place,0.0,0,2,2
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Menlo,Ajayzee Zaballos,116,4th,17.0,4,2,6
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Menlo,Alana Vivas,123,3rd,17.0,5,1,6
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Menlo,Alexandra Lopez,143,6th,13.0,4,3,7
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,St. Mary,Alexsys Jacquez,109,5th,17.5,5,2,7
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Providence,Alicia Frank,123,Did not place,5.5,2,2,4
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,St. Mary,Alisha Van Scoy,130,Did not place,3.5,1,2,3
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Central Methodist,Allison Hynes,123,Did not place,3.5,2,2,4
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Jamestown,Allyssa Johnson,155,Did not place,0.0,0,2,2
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Providence,Alysaa Randles,130,6th,14.0,3,3,6
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Missouri Baptist,Alyssa Quezaire,101,Did not place,3.5,2,2,4
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Missouri Baptist,Alyssa King,109,Did not place,0.0,0,2,2
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Missouri Baptist,Anastasia Hardin,155,Did not place,4.0,1,2,3
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Grand View,Andjela Prijovic,191,Did not place,5.5,2,2,4
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Grand View,Andrea Schlabach,136,6th,11.0,2,3,5
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Life,Angie Prado,136,Did not place,0.0,0,2,2
2024,2024 NAIA Women's National Championships,a5e77281-e231-4ead-a5a8-1142233226d8,Vanguard,Angie Dill,109,Did not place,5.5,2,2,4
