name,team,weight_class,place,record,points_scored,season
Amelia Fawcett,Life,145,Did not place,1-2,3.0,2026
Latifah McBryde,Life,160,3rd,5-1,20.5,2026
Reka Busa,Life,180,3rd,4-1,19.0,2026
Madeline Welch,Life,207,6th,3-3,11.0,2026
Reagan Thomas,Lindsey Wilson,110,Did not place,2-2,3.0,2026
Grace Lashinsky,Lindsey Wilson,117,5th,5-2,17.0,2026
Callie Payton,Lindsey Wilson,117,Did not place,1-2,2.0,2026
Kamilah Brooks,Lindsey Wilson,124,5th,4-2,12.0,2026
Jeila Ramos,Lindsey Wilson,131,6th,3-3,14.5,2026
Lexi Ritchie,Lindsey Wilson,138,Did not place,0-2,0.0,2026
Brielle Bibla,Lindsey Wilson,138,Did not place,0-2,0.0,2026
Kori Campbell,Lindsey Wilson,145,3rd,4-1,17.0,2026
Katelyn Lewis,Lindsey Wilson,180,Did not place,1-2,3.0,2026
Hayeni Costa,Lindsey Wilson,207,8th,3-3,6.5,2026
Cheyenne Cruce,Lindsey Wilson,207,Did not place,1-2,2.0,2026
Taylor Hood,Midland,117,Did not place,0-2,0.0,2026
Maci Avila,Midland,138,4th,4-2,15.5,2026
Ja`Nya Banks,Midland,160,Did not place,0-2,0.0,2026
De`yton Young,Missouri Baptist,110,Did not place,0-2,0.0,2026
Zoe Fries,Missouri Baptist,138,Did not place,1-2,2.5,2026
Maggie Ortmann,Missouri Baptist,145,8th,3-3,8.5,2026
Kenlee Fish,Missouri Baptist,180,Did not place,0-2,0.0,2026
Raquel Garcia,Missouri Valley,110,Did not place,0-2,0.0,2026
Zao Estrada,Missouri Valley,117,3rd,4-1,19.5,2026
Sarah Pineda,Missouri Valley,117,Did not place,0-2,0.0,2026
Isla Baeza,Missouri Valley,124,Did not place,0-2,0.0,2026
Jasmina Immaeva,Missouri Valley,124,Did not place,1-2,3.0,2026
Serenity De La Garza,Missouri Valley,138,Did not place,1-2,3.0,2026
Sarina Bertram,Missouri Valley,145,Did not place,1-2,3.5,2026
Brooke-Lynn Rush,Missouri Valley,145,6th,4-3,11.5,2026
Maria Slaughter,Missouri Valley,160,Did not place,1-2,3.0,2026
Autumn Perez,Missouri Valley,180,8th,3-3,11.0,2026
Morgan Repasky,Montreat,103,Did not place,0-2,0.0,2026
Daniela Espinal,Montreat,124,Did not place,0-2,0.0,2026
Alexis Miller,Oklahoma City,103,6th,2-3,13.0,2026
Avery Ashley,Oklahoma City,110,2nd,3-1,20.0,2026
Bryce White,Oklahoma City,131,Did not place,0-2,0.0,2026
Natalia Posada,Oklahoma City,138,Did not place,0-2,0.0,2026
Corin Lowe,Oklahoma City,145,Did not place,0-2,0.0,2026
Makayla Munoz,Oklahoma City,160,Did not place,1-2,3.0,2026
Aynsley Fink,Ottawa,103,7th,3-2,9.5,2026
Addison Saporito,Ottawa,117,Did not place,1-2,2.0,2026
Sigrun Metzger,Ottawa,117,Did not place,2-2,4.5,2026
Aileen Lester,Ottawa,138,6th,2-3,9.0,2026
Darby Weidl,Ottawa,160,8th,3-3,8.5,2026
Justice Thomas,Ottawa,160,Did not place,0-2,0.0,2026
Hannah Jackson,Ottawa,180,6th,3-3,9.0,2026
Siara Arrington,Ottawa,180,5th,5-2,12.0,2026
Kena Leonard,Ottawa,207,Did not place,1-2,2.0,2026
Kylee Lindsley,Ottawa,207,7th,4-2,13.5,2026
Erin Hikiji,Providence,103,1st,5-0,24.5,2026
Isabella Bocanegra,Providence,103,Did not place,0-2,0.0,2026
Paige Morales,Providence,110,6th,2-3,9.0,2026
Kayla Shota,Providence,110,Did not place,2-2,4.5,2026
Joely Slyter,Providence,117,7th,3-2,10.0,2026
Alyssa Randles,Providence,124,6th,3-3,12.0,2026
Waipuilani Estrella-Beauchamp,Providence,131,3rd,5-1,22.5,2026
Esther Han,Providence,138,Did not place,2-2,4.5,2026
Elise Twait,Providence,145,Did not place,1-2,1.0,2026
Aspen Dodge,Providence,160,Did not place,1-2,4.0,2026
Hailey Sutton,Providence,160,6th,3-3,9.0,2026
Kassidy Sigda,Providence,180,Did not place,0-2,0.0,2026
Alexandra Evans,Rio Grande,103,Did not place,0-2,0.0,2026
Julia Snyder,Rochester Christian,110,Did not place,1-2,3.0,2026
Alexsys Jacquez,Saint Mary,103,4th,4-2,17.0,2026
Destiny Jones,Saint Mary,103,Did not place,1-2,3.0,2026
Skylur Lewis,Saint Mary,138,8th,2-3,9.5,2026
Liana Ferreira,Southern Oregon,103,Did not place,2-2,5.0,2026
Kaylee Annis,Southern Oregon,124,Did not place,1-2,0.5,2026
Myia Weiler,Southern Oregon,124,Did not place,0-2,0.0,2026
Jade Morales,Southern Oregon,131,Did not place,1-2,0.5,2026
Makayla Correa,Southern Oregon,138,Did not place,1-2,3.0,2026
Holland Wieber,Southern Oregon,145,4th,4-2,14.5,2026
Vida Boskovic,Southern Oregon,160,4th,6-2,20.5,2026
Quilaztli Miguel-Lapham,Southern Oregon,160,Did not place,0-2,0.0,2026
Kathryn Hingano,Southern Oregon,180,4th,4-2,18.5,2026
Lillian Gradillas-Flores,Southern Oregon,207,1st,4-0,25.5,2026
Gracie Elliott,Texas Wesleyan,110,Did not place,0-2,0.0,2026
Carolina Rios,Texas Wesleyan,117,6th,3-3,13.0,2026
Elizabeth Duvall,Texas Wesleyan,131,Did not place,2-2,3.5,2026
Samantha Barragan,Texas Wesleyan,138,3rd,5-1,23.0,2026
Carla Campos,Texas Wesleyan,207,4th,4-2,15.5,2026
Mackenzie Gilbert,Waldorf,103,Did not place,0-2,0.0,2026
Niah Smith,Waldorf,145,Did not place,1-2,1.0,2026
Skyler Bruno,Waldorf,207,Did not place,0-2,0.0,2026
Calli Connally,Wayland Baptist,103,Did not place,3-2,7.0,2026
Mariah Dillard,Wayland Baptist,117,Did not place,0-2,0.0,2026
Tess Barnett,Wayland Baptist,124,Did not place,0-2,0.0,2026
Madison Pena,Wayland Baptist,131,Did not place,1-2,2.5,2026
Jordan Suarez,Wayland Baptist,145,2nd,4-1,23.0,2026
Mercy Adekuoroye,Wayland Baptist,160,1st,4-0,23.5,2026
Mohagany Casel,Wayland Baptist,160,Did not place,3-2,2.0,2026
Ambre Chevreau,Wayland Baptist,180,Did not place,1-2,3.5,2026
Payton Sholander,Wayland Baptist,180,Did not place,1-2,2.5,2026
Faith Wooley,Wayland Baptist,207,Did not place,2-2,5.0,2026
Leilani Sanchez,Wayland Baptist,207,3rd,6-1,23.5,2026
Berlyn Davis,Westcliff,160,Did not place,1-2,2.5,2026
Fernanda Canedo,Westcliff,207,Did not place,0-2,0.0,2026
Mia Palumbo,William Penn,110,1st,5-0,28.0,2026
Avy Perez,William Penn,110,7th,4-2,10.0,2026
Christianah Ogunsanya,William Penn,117,1st,4-0,24.5,2026
Vicky Baez-Dilone,William Penn,124,3rd,5-1,22.0,2026
Tati Paragas,William Penn,124,Did not place,1-2,2.0,2026
Kendall Bostelman,William Penn,131,5th,4-2,14.5,2026
Bronwyn Brenneman,William Penn,131,Did not place,2-2,3.0,2026
Esther Kolawole,William Penn,138,1st,4-0,26.0,2026
Naida Abdijanovic,William Penn,145,Did not place,0-2,0.0,2026
Piper Fowler,William Penn,180,1st,4-0,28.0,2026
Diara Pomares,William Penn,180,Did not place,1-2,1.0,2026
Phoebe Burt,William Penn,207,Did not place,1-2,1.0,2026
Teani Medeiros-Maielua,William Woods,138,Did not place,1-2,2.5,2026
Abby Piper,William Woods,180,Did not place,0-2,0.0,2026
Jill High,York,131,Did not place,1-2,3.0,2026
Alexis Hatfield,Avila,103,5th,6-2,16.0,2025
Nicole Redmond,Avila,131,Did not place,0-2,0.0,2025
Jaclyn Riedinger,Avila,138,Did not place,0-2,0.0,2025
Katherine Heath,Baker,117,7th,4-2,11.0,2025
Kylie Robledo,Baker,124,Did not place,0-2,0.0,2025
Jade Martin,Baker,138,Did not place,0-2,0.0,2025
Jannell Avila,Baker,180,3rd,4-1,17.5,2025
