rank,team,points,season
1,Menlo,172,2024
2,Life,138,2024
3,Southern Oregon,134,2024
4,William Penn,111.5,2024
5,Grand View,106,2024
6,Texas Wesleyan,98.5,2024
7,Providence,90.5,2024
8,Missouri Baptist,87.5,2024
9,Campbellsville,54,2024
10,Cumberlands,53,2024
11,Baker,44,2024
12,Doane,35,2024
13,St. Mary,34.5,2024
13,Vanguard,34.5,2024
15,Indiana Tech,33.5,2024
16,Oklahoma City,31,2024
17,Hastings,30.5,2024
18,Lourdes,27.5,2024
19,Waldorf,22,2024
20,Evergreen,20.5,2024
21,Midland,20,2024
22,Siena Heights,18.5,2024
23,Friends,17.5,2024
24,Eastern Oregon,17,2024
25,Wayland Baptist,15.5,2024
26,Missouri Valley,14.5,2024
27,Ottawa,6.5,2024
28,Central Methodist,4,2024
29,Jarvis Christian,3,2024
30,Jamestown,2.5,2024
31,St. Andrews,1,2024
32,Avila,0,2024
32,Brewton Parker,0,2024
32,Dickinson State,0,2024
32,Montreat,0,2024
32,Morningside,0,2024
32,York,0,2024
