season,event_name,event_id,school,wrestler_name,weight_class,place,points_scored,wins,losses,matches_wrestled
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Texas Wesleyan,Aalyah Villarreal,170,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Baker,Abbie Jones,136,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Grand View,Abby McIntyre,170,3rd,17.5,4,1,5
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Ottawa,Abigail Sebesta,143,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Iowa Wesleyan,Adaugo Nwachukwu,136,1st,27.5,4,0,4
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Doane,Aevri Ciha,143,Did not place,4.0,1,2,3
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Menlo,Ajayzee Zaballos,116,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Iowa Wesleyan,Alaina Sunlin,101,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Menlo,Alana Vivas,123,2nd,22.0,4,1,5
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Brewton Parker,Alesandra Burgos,116,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Menlo,Alexandra Lopez,155,Did not place,3.0,1,2,3
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Jamestown,Alexandra Baudhuin,130,Did not place,2.5,1,2,3
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Wayland Baptist,Alexandria Hernandez,155,Did not place,3.5,1,2,3
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Providence,Alexis Tupuola,191,8th,9.5,3,3,6
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Cumberlands,Alexis Medina,116,Did not place,4.0,2,2,4
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Grand View,Alexis Gomez,143,2nd,19.0,3,1,4
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Providence,Alicia Frank,123,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Saint Mary,Alisha Van Scoy,123,Did not place,0.0,0,2,2
2023,2023 NAIA Women's National Championships,e44c8f77-5a14-445c-8d0f-84acc7c44f33,Cumberlands,Aliyah Yates,136,5th,15.0,4,2,6
